"","x"
"96","mail in or absentee there is a difference"
"97","he is the president for godâ€™s sake not apples for apples joe you should beg for godâ€™s forgiveness for gâ€"
"98","if you can riot you can vote in person"
"99","you should vote via pony express"
"100","is a man who throws blame and constantly knocks the president on divide of the country but allâ€"
"101","trump"
"102","but will your idea pass the sniff test"
"103","not the same thing joe i think you know thatits already been proven mail in ballots are a disasterâ€"
"104","voting in person will workft apart dems are desperate to cheat with mail in voting"
"105","oh and if you can go to the store then you can go to the booths election day should be novth theâ€"
"106","absentee is different than all mail in voting"
"107","everybody has been able to vote by mail for years its called absentee voting not the same as indiscrimâ€"
"108","do you have own ideas donâ€™t imitate with better than you"
"109","this guy is seriously sick"
"110","absentee ballot knucklehead know the differences"
"111","what about the dead people do they countyou really hate america donâ€™t you"
"112","bananas are yummy"
"113","dont care how i vote im not voting for you"
"114","a party that lostemails wants us to vote by mail me thinks that is why they are still spreadingâ€"
"115","voted absentee not by mail"
"116","you have to apply for an absentee ballot no just receive several randomly in the mail tell the truth for once"
"117","dear joedems lie bait attach and have nothing to stand on expect hatred of potus founded on ns of faâ€"
"118","voted illegally by mail there i fixed it for ya he cannot be a resident of mar a lago since itâ€™s a business"
"119","no joe"
"120","a vote for biden is a vote for more dead americansyes i know so is a vote for donald trumpi thougâ€"
"121","voting fraud"
"122","you can called absentee ballot"
"123","joe biden cant win in an open and fair election"
"124","there you go again spin it to make it sounds like he did something he is against he voted by mail becauâ€"
"125","what happens when your cronies evil plan fails then republicans win for the nextyrs"
"126","shut up"
"127","yeah but heâ€™s above the lawâ€ and above the fray"
"128","donald trump is voting for donald trump you should be able to as well"
"129","crime bill"
"130","crooked and creepy is what biden stands for doesnâ€™t have the memory left to remember"
"131","why so you amp mick obama can win by fraud"
"132","last i checked anyone can get an absentee ballotas long as they are alive and a humanpeople shouldâ€"
"133","passed a cognitive test you should be able to as well"
"134","i will go personally hand the ballot for joe biden to the voting registar officer for counting"
"135","by not telling the whole story you are a liar"
"136","bernie sanders campaign cochairwoman nina turner said endorsing joe biden for president would be likeâ€"
"137","months all youll be able to do is lick a stamp with your drool"
"138","what a marvelous deduction jolly joe"
"139","joe get you head out of your assi mean basement"
"140","with an id"
"141","i will amp your name will have a check next to it on this"
"142","absentee ballot much different than bulk mailed ballots you know that butwill say anything"
"143","get with the times mail then allow voting via a website encryption data governence unique identiâ€"
"144","ğÿğÿ˜‚ thats why my dead neighbor still gets a ballother husband throws them away democrats will cheat like they always do"
"145","i hate stupid peopletrumpkinsvote biden before all americans are infected with trump as presidentâ€"
"146","s of protesters have gathered in mass gatherings fordays straight with no apparent outbreaksâ€"
"147","how high can you jump joe biden if china asked you joe biden to jump"
"148","i want to vote in personin personwhy should we have to mail them inyou know as well as i do halâ€"
"149","whatever little something policy wonk wrote this on behalf of creepy uncle joe first i hope he hasnâ€"
"150","do a live debate with him and iâ€™ll consider it"
"151","who would vote for this mess ğÿ‘‡ğÿ‘‡ğÿ‘‡ğÿ‘‡ğÿ‘‡"
"152","cheater"
"153","no"
"154","there is no need formillion americans to vote by mail go back to bed joe"
"155","derpity derp derp"
"156","hi jill absentee ballot not vote by mail"
"157","so do all the dead democrats"
"158","i think voting by mail is a good policy at this point please convince me with possible smart policies weâ€"
"159","listen all if you have the option to vote by mail please do it early in many elections votes were deemâ€"
"160","no thanksi donâ€™t want workers whose union endorses you playing election official"
"161","your voters must be really stupid to fall for this bullshit"
"162","and trump is the biggest fake american there is"
"163","yep make voting by mail an option not mandatory thank you silent joe"
"164","donald trump voted by absontee ballot and id nextyoure pathetic quidprojoeğÿ™„"
"165","you told us to vote in person during the primaries during full lock down you have no standing dropoutjoe"
"166","do you even know what your voting for or running for"
"167","whoâ€™s says we canâ€™t ğÿ˜"
"168","yes we should is it possible for trump to not fund the post office even if he can can volunteers delivâ€"
"169","joe biden touches young children inappropriately"
"170","cheatin joe absentee ballotooops forgot that part"
"171","big difference between mailin voting and absentee ballot voting trump"
"172","if masks works then whatâ€™s the problem we can stand in line and vote"
"173","there is a difference between absentee ballotswhich are requested by the voter of people in the arm foâ€"
"174","dios es el unico que decide y el no te quiere en el poder venezuela esta con trump ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡"
"175","are you playing dumb or is this real absentee voting has always existed and no one is disputing that"
"176","no"
"177","so you squad can tramper with the ballots just stay in your basement trump"
"178","absentee voting is fine mail by vote leads to fraud"
"179","why are dems afraid of true voting in personmost legit way of votingantifa is not a myth but a terrorist organization"
"180","no a big no cornpop then you could cheat your way to victory"
"181","you are under criminal investigation from the ukraine for a billion dollar quid pro quoyou can mail yoâ€"
"182","i like hairy legs youâ€™ve got my vote"
"183","i will walk through fire locusts whatever to vote on election day for djtno mail in"
"184","only if you request itnot in mass mailingsso you can cheatthats the only way you will be elected"
"185","be able to cheat"
"186","it would be impossible for him to vote illegally if this is your defense it is very weak"
"187","too much fraud with vote by mailif you can go out and protestriot you can go to the polls"
"188","it is a much different process boomer"
"189","vote by mail and an absentee ballot arediferent thingsand you want to be presidentğÿ”ğÿ™„ğÿ™„ğÿ™„ğÿ™„"
"190","absentee ballot big difference"
"191","yes"
"192","old demented man why does your family allow you to be abused like this"
"193","if one does not feel comfortable voting in person there is such thing as absentee ballotsthat is whaâ€"
"194","yes we all already can absentee ballots az had it for years"
"195","yes but he did not cheat and change the ballots to democrats like your party doespluâ€"
"196","youre a joke"
"197","mail in absentee ballots are ok and reserved for people who cant physically get to the polling stationsâ€"
"198","yeah well anarchists should also be allowed to be such without being arrested you need to do some fuckinâ€"
"199","you cant remember your own name how would you know who voted when oh i forgot you graduated top of your class withdegrees"
"200","some absentee voting is decidedly different than doing the majority of the electorate by mail too much fâ€"
"201","as absentee is nothing like the mail in fraud being pushed by the left if you are afraid of voting signâ€"
"202","no we know what you want to do cheat"
"203","do you have proof pedo joemethinks not"
"204","id rather not mimic trump"
"205","trumpisnotwell"
"206","absentee ballot theres a distinct difference heywheres the fact checking for this clown"
"207","your nuts you think i am going vote by mail so that your leftists will change it to make you president okâ€"
"208","gotta remember where the post office is first"
"209","thatâ€™s your only chance just straight up cheat"
"210","joe joe joe it is called a absentee ballotwhich is verified by the state"
"211","and you should vote for trump trump"
"212","youre not the real candidate anyways when is she going to throw her name out there"
"213","facts donald trump workslives in wash dc his residency is in fl he used absentee voting which is permâ€"
"214","masks are mandated murder by globalists trying to fight an imaginary climate changeglobal warming at theâ€"
"215","i vote by mail every election its easier to do than standing in linr forhours"
"216","symone i mean joe lies"
"217","in person voting no vote by mail voter id"
"218","under normal circumstances sure not this year so you can cheat"
"219","so did a whole bunch of dead people"
"220","there is a difference between an absentee voteand a vote by mail you should know this former vp"
"221","absolutelyhis message is to confuse his ilkmany believe that illegal voting means illegals voting"
"222","apples and oranges asking for a absentee ballot is different that mailing a ballot to every registered vâ€"
"223","no mail in voting no cheating sleepy joe"
"224","you already can in literally every state but you might have to put forwardmin of your time to get it done"
"225","your supporters can go out anytime to riot and loot why voters are required to stay home and choose vote by mail"
"226","he also was interviewed byonwhich youâ€™re apparently to chicken shit to do want aâ€"
"227","but he sent the ballot in for himself he didnt send in votes for people that no longer are alive"
"228","but can you show if his vote was actually counted or attributed to the correct candidatesuntil then suck it"
"229","fun fact joe biden believes his own name is donald trump"
"230","my state already has absentee voting what youre proposing is not needed"
"231","problem withis that of thecandidates on his mailin ballot person woman man cameâ€"
"232","you voted by pony express old man"
"233","you werent in vermont joe"
"234","get back to your basement the end sniff your maskğÿ‘ƒğÿ‘ƒ"
"235","nope"
"236","he has not for a presidential electionlyingbiden"
"237","did you have help voting"
"238","the way for the democratic party to seize power first they must ban the gun in your hand then they mustâ€"
"239","so did my dead grandma ğÿ‘ğÿredwave"
"240","such a joker joe ğÿ˜‚ğÿ˜‚ğÿ˜‚"
"241","itâ€™s called absentee and itâ€™s signature verified unlike what youwant stop voter fraud stop biden"
"242","good idea choosingon her knees kamala after she called you a racistno balls sleepy joe"
"243","absentee ballot does not equal mass mail in voting"
"244","there is a difference between and absentee ballot and just getting them mailed to whoever vite at theâ€"
"245","trump is the president who lives in a different place nowyou should do that too run from presidentâ€"
"246","you want millions of people to vote by mail because you can cheat and alter the true results of the electâ€"
"247","just curious cause i havent heard what version of mail was it i know there are may levels to send mailâ€"
"248","sure"
"249","joe stop flirting with republicans ok"
"250","do you remember what you did"
"251","if you can stand in line at walmart lowes home depot dmv grocery store dollar store or for the neweâ€"
"252","joe doesnâ€™t understand what absentee ballotâ€™s are and heâ€™s hoping the rest of america doesnâ€™t either"
"253","absentee ballot is not vote by mail"
"254","an absentee ballot is requested big difference joe joe"
"255","the city of new york couldnt get mail ballots done correctly it took weeks for them to decide on the elâ€"
"256","dont want to i want to know that my vote will be counted you want mail in voting so you and your partyâ€"
"257","no one is saying people canâ€™t vote by mail but you must go to the election office prove youâ€™re elegibleâ€"
"258","im australian and i wish i could vote for someone anyone but trump no offence intendedğÿ˜˜"
"259","trump doesnt know how to use the mail he probably slipped it into the return slot at a long abandoned blâ€"
"260","requesting an absentee ballot vsmass mailing ballots to everyone without updating and cleaning up old vâ€"
"261","dont worry i will i will not vote for you i will not vote for trump i am voting for a real american wâ€"
"262","well only if you are voting for biden democrats censor will burn all trump supporters mail"
"263","does that include all the dead people that make upof your voter base"
"264","you mailed it in on the american people a long time ago please donâ€™t lecture us on mail in ballots"
"265","he also knows where he is located"
"266","i will go in person"
"267","everyone with reason can how can you run for president and not know this how can you have been in govâ€"
"268","did you believe harris would get you more black votes we all know she sucked her way to the top"
"269","liar its called absentee ballot which you have to go w id in order to register"
"270","donald trump voted by absentee ballot not votebymail fraud like youre talking about assclown"
"271","did you learn of that by your spying on his campaign"
"272","absentee ballot much like your minditâ€™s elsewhere is this what you guys are running on itâ€™s ok to bâ€"
"273","you should get some serious help for your dementia"
"274","its called an absentee ballot"
"275","got my ballot coming to me"
"276","tell ya what man i got to do this week i just drove down there and it took me three hours for a week andâ€"
"277","what day is it there joe"
"278","does that mean i can book air force one for my next trip"
"279","absolutely obama put a site up for everyone that wants to register to vote by mail thank you mr biden"
"280","listen to two mailmen talk about the idea of mail in voting"
"281","there are literally dozens of people caught in attempts at voter fraud since they started this bs moreâ€"
"282","biden do you not understand the difference between voting by mail as an absentee voter versus voting byâ€"
"283","do you think the american people are stupid itâ€™s called an absentee ballot not mail in voting"
"284","theres specific reasons and a process for doing so its not for any reason"
"285","someone help joe escaped the psychiatric ward"
"286","there is a big difference between absentee ballots and mass vote by mail what are you afraid of joe hint itâ€™s not the virus"
"287","donald trump wasnt trying to steal an election pedophile"
"288","your family received millions from ukraine and china so we shouldbe able to do that tpo"
"289","this is so stupid no has an issue with regular vote by mail scenariosthe issue is when you have â€"
"290","nope too much fraudrecount proved it"
"291","thousands are gathering together in streets all across the country they should be fine to vote in person too"
"292","slt"
"293","thanks jill"
"294","screw u u canâ€™t even debate ğÿ"
"295","trumpdrain the democrat swamp"
"296","too bad you dont know the difference between absentee ballots and vote by mailstay in the basement joe"
"297","everyone i know is going to the voting box specifically to ensure ur defeat sir"
"298","voting by mail means that you applied to vote absentee itâ€™s not the same as the democrats mailing a ballâ€"
"299","its called absentee ballotabsent minded joe voting should only be for legal citizens and not those onâ€"
"300","youâ€™re right absentee ballot only"
"301","liar"
"302","its an absentee ballot jesus chrst joe"
"303","ill vote in person my opinion voting by mail is unconstitutional whats fake ballots and quit lying about trump"
"304","before i vote by mail will you sit down withfor ahour podcast and dispel critics that youâ€"
"305","the potus is not the avg citizen the only ones voting by mail should be those not able to make it to theâ€"
"306","absentee ballots isnâ€™t voting by mail"
"307","yea but nottimes"
"308","look at biden conspiring in plain sight the audacity it is written in the bible that voting in gods laâ€"
"309","your are such a tool"
"310","debate the president america must see you guys debate"
"311","millions of others voted a the ballot box too i dont see the additional covid cases attributed to that"
"312","maybe but he is still alive and a citizen way over"
"313","hydroxychloroquine works the silent majority will show up to vote trump"
"314","absentee ballot is not the same as mail in ballot you want to be president and you dont know the difference"
"315","hell no i walk in to be sure my vote counts for joe"
"316","hey missy in the high tops no one believes absentee voting for reason is the same as mass postal service fraud"
"317","yes we know you democrats are very good at cheating by mail"
"318","this will be the biggest fraud in american history just likeevery politician i when i sayeveryâ€"
"319","absentee ballot we arent slow joedo you and you team know the difference"
"320","joe youre so warped you know the country doesnt want you or trust you to run the country so youre pâ€"
"321","theyâ€™re now doing the reverse the democratic house passed a bill that would mandate â€œballot harvestingâ€â€"
"322","thats right its called in absentee ballot"
"323","if you arenâ€™t in the military get your ass to the polls to vote"
"324","if people can go to walmart target kroget loweâ€™s home depot normallypeople can also go to pollingâ€"
"325","still pushing for that one heh joe"
"326","trumplandslidevictory"
"327","sorry pal youâ€™re not cheating your way in"
"328","kag"
"329","pushing for that fraud"
"330","but so will my great grandfather who is dead"
"331","medicare for all or you will never have my vote"
"332","ima need you and trump to share a cell together"
"333","ifjumped off a bridge would you follow hey joe did you hear trump jumped off a bridge"
"334","his was through absentee ballot not a mail in ballot those are where electionfraud takes place you knoâ€"
"335","democrat michael meyer charged with ballot stuffing is this why theand €"
"336","you are a liar everyone can vote by mail just like donald trumpyou just have to put a tiny bit of efâ€"
"337","i mean the president also has all nuclear weapons in his hands should we be able to too"
"338","only if your traveling or disabled too much voter fraud"
"339","all men are created well you know the thingbiden harriswe do know the thingyouve been doiâ€"
"340","ğÿ–•voting by mail"
"341","i want to vote against you in person i should be allowed that privilege"
"342","wrong talking point absenteevoting is legal requires the voterb identified as a legal voter votingâ€"
"343","according to donald trump if he loses the election it means the was a fraud during the vote but somehowâ€"
"344","do you mean that donald trump votes absentee since he will most definitely be out of town for the election"
"345","the fact that you donâ€™t understand the difference afteryears is appalling"
"346","a lot of people do when circumstances wonâ€™t allow someone to get to the pollğÿ™„"
"347","all registered legal voters have the privilege of voting by mailthat has never been the issueitâ€™sâ€"
"348","he was seen on tv voting joe you need to smarten up before you post"
"349","truth you are a fraud"
"350","are you back on your meds yet"
"351","hey joeblowi was in walmart saturdayand in lowesthere was so many people thereand all wearâ€"
"352","debate trump with no earpiece or answer to questions you no you canâ€™t"
"353","why do they all like to change their faces"
"354","i do vote by mail"
"355","do you vote by mail"
"356","yes we know thatâ€™s your only chance at winning to cheat the election"
"357","heâ€™s busy we are not if those can burn cities down we can go votesuch a joke ğÿ"
"358","there are already rules in place for voting by mail why the tweet pimping again this is a non issue jusâ€"
"359","absentee ballots is fine they go to verified registered voters but mailing millions of ballots to who knows whois a problem"
"360","smell cheating leftist is not honest"
"361","nobody has a problem shoppingand going through the checkout at walmart loweâ€™s the drug store and theâ€"
"362","yup just another moment where one of joe bidenâ€™s eyeballs randomly started bleeding wtf"
"363","if ur working in another state then u reside in"
"364","of mail in ballots never get counted lets change this before november lol"
"365","how many times are you and your family going to vote by mail this time around"
"366","i know who i would vote for neverbidennevertrump"
"367","if masks work we can vote in person"
"368","he also knows who is and where he is i donâ€™t think this advice from you is dependable"
"369","teaching them young biden question was â€œwho is joe bidenâ€"
"370","well if a person is not at home and is away like military or in a business trip yes but allowing the dncâ€"
"371","donald trump is a citizen"
"372","who really believes the usps could handle everyone voting by mailmail in votes were disqualifieâ€"
"373","oh i didnâ€™t know that"
"374","ğÿ drop"
"375","absentee voting is not in the same category as mass mail in votes"
"376","why canâ€™t all americans itâ€™s only right"
"377","letâ€™s crushin november and let him and the entire corruptwe will not stand for poâ€"
"378","the trump corruption has no boundsbe prepared"
"379","do you not understand the difference between absentee ballots and vote by mail"
"380","illinois residents are receiving multiple ballots"
"381","wow joe got a complete thought out wonder how long it took him to type this one"
"382","yea years ago that was before the democrats were infiltrated with criminals oh wait you e been thereâ€"
"383","this may be the stupidest thing you have ever said and that is saying something"
"384","dirty deeds of the demorats"
"385","seriously this is the best you can do oy vey nonsense timeforbed godblessamerica"
"386","keep pointing that out thanks meanwhile my husband and i are voting for you â€” and by mail although weâ€"
"387","joe i am just going to say it i love you"
"388","we can if we request to vote by mail"
"389","thanks joe keep staying in de pussy"
"390","how joeits to early to votesomebody wrote down the wrong stuff for you joe while you were napping"
"391","requesting an absentee ballot is different than shotgun approach of sending out millions of mail in balloâ€"
"392","corpses voting for corpses makes sense you are dead to america zombieapocolypse creeyjoe"
"393","thatâ€™s what you would like so that you have a better opportunity to cheat joe"
"394","who are you again oh hunters daddy where is hunter by the way"
"395","all of you democratstook a kneeto someone like thisallowâ€"
"396","why do you want this form of voting so badly joe whatâ€™s the game plan"
"397","yup"
"398","listen if your supporters find it too burdensome to takehour out ofyears to go to the polls theyâ€"
"399","i did"
"400","still shooting for voter fraud huh know you canâ€™t win a fair election"
"401","donald trump is a citizen"
"402","you are trying to cheat again regardless of what you the obama administration amp your party put this couâ€"
"403","and let millions of illegals and dead people give you votesno thank you"
"404","trump"
"405","democrats are trying to rig theelectionvote in person"
"406","legalize cannabis support universal health and maybe you will win you dingbat"
"407","donald trump committed voter fraud he used his maralargo address as his residence and its registered byâ€"
"408","he is a us citizen however"
"409","itâ€™s way past your nap time joe"
"410","huhuhu"
"411","fake news joke biden says president trump voted by mail lying fake news keep discharging your lies demonicrats"
"412","haaafunny you mention thatmore minority women became entrepreneurs in the last year due to presideâ€"
"413","so youâ€™re promoting black americans now but you werenâ€™t before after the vote i see"
"414","i wonder if your plan will be the same oneput in place that increased minorityownedâ€"
"415","you are the racist biden kissing their asses and putting them in front of the line is not equalityteâ€"
"416","itâ€™s amazing how you â€œ have a plan for thatâ€but during youryears a vice president you did nothing aâ€"
"417","what about asians we are colored as wellyou are such a racist"
"418","biden and soros puppet crushed small business when they were in the white house so why the hell would aâ€"
"419","no thanks"
"420","warren"
"421","not from you we have a president that cares about america"
"422","too late joe you know that as well as we all do the only hope for the country is to install a democratâ€"
"423","ğğñ€ñ€ğñ€ğññ‚ñ‹ ğñ‰ñ‘ ğğğğññ‚ ğğñ‚ñğğğ ğğğğğğñœñ"
"424","what we really need is for the ds and rs in congress to stop having pissing contests they should have roâ€"
"425","and this president is donald trump"
"426","dementia is a horrible disease"
"427","okay dementia joe biden we know you are not doing your own tweetswe need a leader who doesnt hide in hiâ€"
"428","google death rate by country"
"429","sleepy joe"
"430","day late and a dollar short there mr racist as usual you have nothing but monday morning criticism mayâ€"
"431","how many countries do we know where the president is constantly reminded to do his or her job would youâ€"
"432","i figure that â€œship has sailedâ€"
"433","you need a guide dog apparently"
"434","having children going back to school in a class room setting during a out of control pandemic was not theâ€"
"435","we need tests that are not cost prohibitive lots of opportunists out there in the healthcare industry aâ€"
"436","someone needs to get this virus under control in our country the current president hasnâ€™t done anythingâ€"
"437","he would be able to do his job if your party wouldnâ€™t fight him every step of the wayalso hydroxychlorâ€"
"438","pedophile"
"439","he wontthat is why we need you"
"440","we will have one when you are voted into office"
"441","we need you joe biden joebidenforpresident"
"442","its fun coming to joes twitter page after visiting trumps i actually get to see complete and factual sentences"
"443","you left off â€œwe need this president to go to jailâ€ yes for crimes proven better yet we need him to go away"
"444","who in gods name is writing your textsthey are so stupidreallydudeyou need a new pr person"
"445","you need an efficient dementia testing now"
"446","we have a great potus djt who works hard everyday for real americansyou will never be able to fill djtâ€"
"447","i agree"
"448","we already have that jill tell your husband to leave the basement more and hell see that"
"449","what we need are numbers that are not falsely inflated if the data is bad then we have no real idea how bad the disease is"
"450","do you even know who you are"
"451","oh look itâ€™s joe dirt the basement rat"
"452","donâ€™t have the corona donâ€™t know anyone who has that trump is doing just fine"
"453","who writes this stuff so far from reality joe"
"454","we need a democrat candidate that knows where they are at"
"455","thank you joe ampat the very least the public should be able to get the same daily tests that louie gohmert got"
"456","trump isnt going to do anything and then hell lie that he did oh and that he did a great job like tâ€"
"457","we need someone who cares about the elderly to report your family and democrats for elder abuse already"
"458","shutittrump"
"459","cruz needs to take a course in ethics heâ€™s helping trump jron a twitter matter and votes no to help tâ€"
"460","no sir we need you to do his job"
"461","biden thinks he is president material"
"462","or just hydroxycholoroquine"
"463","as one of those healthcare workers i thank you for giving us hopetake the reigns amp lead us forwardâ€"
"464","do you know your name banana"
"465","we need politicians and journalists to stop using fear as a tool of manipulation we need the americanâ€"
"466","we need universal health care"
"467","hey sleepy what does ppe stand for go ask the staffer that wrote this tweet dementiajoe"
"468","he wont do it he doesnt care amp never will"
"469","actually biden would overtake bush as the dumbest president ever if elected"
"470","and maybe some kind of healthcare that covers everybody not that the thought of millions in hospitâ€"
"471","trump is a failure"
"472","heâ€™s incapableit will be up to youchoose your vp wisely"
"473","thank you joe for endorsing president trump as heâ€™s taking care of our countryâ€™s needs"
"474","million covid testone of the lowest death rates in the worldvaccines in stagetrialsover â€"
"475","we need ma the real one not the half arsed medicare for all who want it single payer medicare for everything and everyone"
"476","joe said he never took a test"
"477","yes thats all true but what we desperately need and want is for you to be our president"
"478","we have a president that is doing his job we have plenty of testing and plenty of ppe you on the otherâ€"
"479","mr future president please do not call trumppresident hes not hes only a leader of a bunch of ignorant and racist people"
"480","dempartyofslavery dempartyoftheconfederacy dempartyofthekkk dempartyofjimcrow dempartyofthenooseâ€"
"481","we need you to be leading a private industry national response to this nightmare the businesses that recâ€"
"482","yeah well good luck with that"
"483","if biden gets becomes potus the far left will have him out of office for mental incompetenceand then hiâ€"
"484","we need you"
"485","you would absolutely do a better job than trump on this and every other issue"
"486","we need joebidenlandslide"
"487","we need you to go away"
"488","so mr biden you are out in public campaigning without any personal protection or regards for all those aâ€"
"489","heâ€™s doing the job putin put him in office for"
"490","the democrats comprehensive plan to control covid involves murdering the elderly by forcing people with aâ€"
"491","he will never be presidential he will never do his job bidenlandslide"
"492","we need you"
"493","most of us donâ€™t trust you enough to trace us not going to happen"
"494","he is doing his job creepy pedo joewhy afterdecades in office u finally wanting to do somethingğÿ”ğÿ”ğÿ”ğÿ”"
"495","trace thisasswipe"
"496","we need you to stop inappropriately touching women and childrenyears in govt and youre finally goiâ€"
"497","who is writing yr tweets it clearly isnt you"
"498","he is and will formore years"
"499","iâ€™m voting for joe we need you sir desperately"
"500","come out from the basement sleepy joe and open your eyesalready going that while youre stiâ€"
"501","ppe is contaminated useless sht fauci the fraud ran exactly the same lie in the s with hiv until priâ€"
"502","i am an average working man who pays attention and i am worried for myyr old daughters futâ€"
"503","no joe biden"
"504","youre going to waste more money and time this year if you doubt me because its not your destiny to be a president godcomment"
"505","absolutely ğÿ‘ and do ones oath for â€œall of the peopleâ€"
"506","hiden biden"
"507","you need coordinated and effective mental health treatmentget some help joey"
"508","tracingno thank youmaybe put a trace on your son first"
"509","we need candidates that are cognitive to rerun joe for your own benefit drop out now"
"510","this president has done his job the last president depleted our resources during the hn pandemic andâ€"
"511","retire"
"512","we need medicare for all"
