"","text","emotion","polarity"
"75","it seems the democrats are the one doing the majority of â€œvoter fraudâ€ ğÿğÿğÿ","unknown","positive"
"76","big difference between an absentee ballot and leftist version of vote by mail","unknown","negative"
"77","its called an absentee ballot requires proof of citizenship used it many times while i was deployedâ€","unknown","negative"
"78","stop trying to increase obamaâ€™s wealth and power","unknown","neutral"
"79","nope iâ€™m voting for trump in person","unknown","positive"
"80","no you democrats are pushing that so you can cheat","unknown","negative"
"81","we got a taste of what life would be like under dem control while watching the barrhearingall did dsâ€","joy","positive"
"82","addle brain","unknown","positive"
"83","no we shouldnâ€™t that is the most proven corrupt way to vote","unknown","negative"
"84","local and state corruption is one thing votein corruption on the national level cannot be tolerated","unknown","negative"
"85","absentee ballots are ok thereâ€™s a process to obtain one you have to show up at your local city hall toâ€","unknown","negative"
"86","those choosing to vote absentee should do so just like any other election however they should go througâ€","joy","neutral"
"87","i live in ca have been voting by mail for years democrats always win","joy","positive"
"88","absentee you givethe truth completely different process and you know it","unknown","positive"
"89","ğÿ‘‡ğÿ‘‡ğÿ‘‡ğÿ‘‡ğÿ‘‡","unknown","positive"
"90","we all can under special circumstances as provided by state law your writers are not too bright","unknown","positive"
"91","suckers","unknown","positive"
"92","he voted absentee because he was absent people who are voting by mail who are perfectly capable of goingâ€","unknown","neutral"
"93","debate president trumpdebate president trumpdebate president trump debate president trump","unknown","neutral"
"94","false get your shit straight","sadness","negative"
"95","on november rd democrats are going to set post offices on fire democrats know joe will lose the election trumplandslide","unknown","neutral"
"96","mail in or absentee there is a difference","unknown","negative"
"97","he is the president for godâ€™s sake not apples for apples joe you should beg for godâ€™s forgiveness for gâ€","unknown","neutral"
"98","if you can riot you can vote in person","unknown","positive"
"99","you should vote via pony express","unknown","positive"
"100","is a man who throws blame and constantly knocks the president on divide of the country but allâ€","unknown","negative"
"101","trump","unknown","positive"
"102","but will your idea pass the sniff test","unknown","positive"
"103","not the same thing joe i think you know thatits already been proven mail in ballots are a disasterâ€","unknown","positive"
"104","voting in person will workft apart dems are desperate to cheat with mail in voting","unknown","negative"
"105","oh and if you can go to the store then you can go to the booths election day should be novth theâ€","unknown","negative"
"106","absentee is different than all mail in voting","unknown","negative"
"107","everybody has been able to vote by mail for years its called absentee voting not the same as indiscrimâ€","unknown","neutral"
"108","do you have own ideas donâ€™t imitate with better than you","unknown","positive"
"109","this guy is seriously sick","disgust","negative"
"110","absentee ballot knucklehead know the differences","unknown","neutral"
"111","what about the dead people do they countyou really hate america donâ€™t you","anger","negative"
"112","bananas are yummy","unknown","positive"
"113","dont care how i vote im not voting for you","joy","positive"
"114","a party that lostemails wants us to vote by mail me thinks that is why they are still spreadingâ€","unknown","positive"
"115","voted absentee not by mail","unknown","negative"
"116","you have to apply for an absentee ballot no just receive several randomly in the mail tell the truth for once","unknown","positive"
"117","dear joedems lie bait attach and have nothing to stand on expect hatred of potus founded on ns of faâ€","joy","negative"
"118","voted illegally by mail there i fixed it for ya he cannot be a resident of mar a lago since itâ€™s a business","unknown","negative"
"119","no joe","unknown","positive"
"120","a vote for biden is a vote for more dead americansyes i know so is a vote for donald trumpi thougâ€","unknown","neutral"
"121","voting fraud","unknown","negative"
"122","you can called absentee ballot","unknown","negative"
"123","joe biden cant win in an open and fair election","unknown","neutral"
"124","there you go again spin it to make it sounds like he did something he is against he voted by mail becauâ€","joy","neutral"
"125","what happens when your cronies evil plan fails then republicans win for the nextyrs","anger","negative"
"126","shut up","unknown","positive"
"127","yeah but heâ€™s above the lawâ€ and above the fray","unknown","positive"
"128","donald trump is voting for donald trump you should be able to as well","unknown","positive"
"129","crime bill","unknown","negative"
"130","crooked and creepy is what biden stands for doesnâ€™t have the memory left to remember","unknown","negative"
"131","why so you amp mick obama can win by fraud","unknown","negative"
"132","last i checked anyone can get an absentee ballotas long as they are alive and a humanpeople shouldâ€","sadness","negative"
"133","passed a cognitive test you should be able to as well","unknown","positive"
"134","i will go personally hand the ballot for joe biden to the voting registar officer for counting","unknown","positive"
"135","by not telling the whole story you are a liar","unknown","negative"
"136","bernie sanders campaign cochairwoman nina turner said endorsing joe biden for president would be likeâ€","unknown","positive"
"137","months all youll be able to do is lick a stamp with your drool","unknown","neutral"
"138","what a marvelous deduction jolly joe","joy","positive"
"139","joe get you head out of your assi mean basement","sadness","negative"
"140","with an id","unknown","positive"
"141","i will amp your name will have a check next to it on this","unknown","positive"
"142","absentee ballot much different than bulk mailed ballots you know that butwill say anything","unknown","negative"
"143","get with the times mail then allow voting via a website encryption data governence unique identiâ€","sadness","neutral"
"144","ğÿğÿ˜‚ thats why my dead neighbor still gets a ballother husband throws them away democrats will cheat like they always do","joy","neutral"
"145","i hate stupid peopletrumpkinsvote biden before all americans are infected with trump as presidentâ€","anger","negative"
"146","s of protesters have gathered in mass gatherings fordays straight with no apparent outbreaksâ€","unknown","positive"
"147","how high can you jump joe biden if china asked you joe biden to jump","anger","negative"
"148","i want to vote in personin personwhy should we have to mail them inyou know as well as i do halâ€","unknown","positive"
"149","whatever little something policy wonk wrote this on behalf of creepy uncle joe first i hope he hasnâ€","unknown","negative"
"150","do a live debate with him and iâ€™ll consider it","joy","neutral"
"151","who would vote for this mess ğÿ‘‡ğÿ‘‡ğÿ‘‡ğÿ‘‡ğÿ‘‡","unknown","negative"
"152","cheater","unknown","negative"
"153","no","unknown","positive"
"154","there is no need formillion americans to vote by mail go back to bed joe","anger","neutral"
"155","derpity derp derp","unknown","positive"
"156","hi jill absentee ballot not vote by mail","unknown","negative"
"157","so do all the dead democrats","unknown","negative"
"158","i think voting by mail is a good policy at this point please convince me with possible smart policies weâ€","joy","positive"
"159","listen all if you have the option to vote by mail please do it early in many elections votes were deemâ€","joy","positive"
"160","no thanksi donâ€™t want workers whose union endorses you playing election official","unknown","neutral"
"161","your voters must be really stupid to fall for this bullshit","surprise","negative"
"162","and trump is the biggest fake american there is","unknown","neutral"
"163","yep make voting by mail an option not mandatory thank you silent joe","unknown","positive"
"164","donald trump voted by absontee ballot and id nextyoure pathetic quidprojoeğÿ™„","sadness","neutral"
"165","you told us to vote in person during the primaries during full lock down you have no standing dropoutjoe","unknown","positive"
"166","do you even know what your voting for or running for","unknown","positive"
"167","whoâ€™s says we canâ€™t ğÿ˜","unknown","positive"
"168","yes we should is it possible for trump to not fund the post office even if he can can volunteers delivâ€","unknown","positive"
"169","joe biden touches young children inappropriately","unknown","negative"
"170","cheatin joe absentee ballotooops forgot that part","unknown","negative"
"171","big difference between mailin voting and absentee ballot voting trump","unknown","neutral"
"172","if masks works then whatâ€™s the problem we can stand in line and vote","unknown","neutral"
"173","there is a difference between absentee ballotswhich are requested by the voter of people in the arm foâ€","unknown","negative"
"174","dios es el unico que decide y el no te quiere en el poder venezuela esta con trump ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡ğÿ‡","anger","positive"
"175","are you playing dumb or is this real absentee voting has always existed and no one is disputing that","unknown","negative"
"176","no","unknown","positive"
"177","so you squad can tramper with the ballots just stay in your basement trump","unknown","positive"
"178","absentee voting is fine mail by vote leads to fraud","unknown","negative"
"179","why are dems afraid of true voting in personmost legit way of votingantifa is not a myth but a terrorist organization","fear","negative"
"180","no a big no cornpop then you could cheat your way to victory","unknown","negative"
"181","you are under criminal investigation from the ukraine for a billion dollar quid pro quoyou can mail yoâ€","unknown","neutral"
"182","i like hairy legs youâ€™ve got my vote","joy","positive"
"183","i will walk through fire locusts whatever to vote on election day for djtno mail in","joy","negative"
"184","only if you request itnot in mass mailingsso you can cheatthats the only way you will be elected","unknown","neutral"
"185","be able to cheat","unknown","negative"
"186","it would be impossible for him to vote illegally if this is your defense it is very weak","joy","negative"
"187","too much fraud with vote by mailif you can go out and protestriot you can go to the polls","unknown","negative"
"188","it is a much different process boomer","unknown","positive"
"189","vote by mail and an absentee ballot arediferent thingsand you want to be presidentğÿ”ğÿ™„ğÿ™„ğÿ™„ğÿ™„","unknown","neutral"
"190","absentee ballot big difference","unknown","negative"
"191","yes","unknown","positive"
"192","old demented man why does your family allow you to be abused like this","joy","positive"
"193","if one does not feel comfortable voting in person there is such thing as absentee ballotsthat is whaâ€","joy","neutral"
"194","yes we all already can absentee ballots az had it for years","unknown","neutral"
"195","yes but he did not cheat and change the ballots to democrats like your party doespluâ€","joy","neutral"
"196","youre a joke","unknown","positive"
"197","mail in absentee ballots are ok and reserved for people who cant physically get to the polling stationsâ€","sadness","negative"
"198","yeah well anarchists should also be allowed to be such without being arrested you need to do some fuckinâ€","unknown","neutral"
"199","you cant remember your own name how would you know who voted when oh i forgot you graduated top of your class withdegrees","surprise","positive"
"200","some absentee voting is decidedly different than doing the majority of the electorate by mail too much fâ€","unknown","negative"
"201","as absentee is nothing like the mail in fraud being pushed by the left if you are afraid of voting signâ€","fear","negative"
"202","no we know what you want to do cheat","unknown","neutral"
"203","do you have proof pedo joemethinks not","unknown","positive"
"204","id rather not mimic trump","unknown","positive"
"205","trumpisnotwell","unknown","positive"
"206","absentee ballot theres a distinct difference heywheres the fact checking for this clown","unknown","neutral"
"207","your nuts you think i am going vote by mail so that your leftists will change it to make you president okâ€","unknown","positive"
"208","gotta remember where the post office is first","unknown","positive"
"209","thatâ€™s your only chance just straight up cheat","unknown","neutral"
"210","joe joe joe it is called a absentee ballotwhich is verified by the state","unknown","neutral"
"211","and you should vote for trump trump","unknown","positive"
"212","youre not the real candidate anyways when is she going to throw her name out there","unknown","neutral"
"213","facts donald trump workslives in wash dc his residency is in fl he used absentee voting which is permâ€","unknown","neutral"
"214","masks are mandated murder by globalists trying to fight an imaginary climate changeglobal warming at theâ€","anger","negative"
"215","i vote by mail every election its easier to do than standing in linr forhours","unknown","negative"
"216","symone i mean joe lies","unknown","negative"
"217","in person voting no vote by mail voter id","unknown","positive"
"218","under normal circumstances sure not this year so you can cheat","unknown","neutral"
"219","so did a whole bunch of dead people","unknown","negative"
"220","there is a difference between an absentee voteand a vote by mail you should know this former vp","unknown","neutral"
"221","absolutelyhis message is to confuse his ilkmany believe that illegal voting means illegals voting","unknown","negative"
"222","apples and oranges asking for a absentee ballot is different that mailing a ballot to every registered vâ€","unknown","negative"
"223","no mail in voting no cheating sleepy joe","unknown","positive"
"224","you already can in literally every state but you might have to put forwardmin of your time to get it done","sadness","neutral"
"225","your supporters can go out anytime to riot and loot why voters are required to stay home and choose vote by mail","unknown","negative"
"226","he also was interviewed byonwhich youâ€™re apparently to chicken shit to do want aâ€","unknown","positive"
"227","but he sent the ballot in for himself he didnt send in votes for people that no longer are alive","unknown","positive"
"228","but can you show if his vote was actually counted or attributed to the correct candidatesuntil then suck it","unknown","negative"
"229","fun fact joe biden believes his own name is donald trump","unknown","neutral"
"230","my state already has absentee voting what youre proposing is not needed","unknown","neutral"
"231","problem withis that of thecandidates on his mailin ballot person woman man cameâ€","unknown","negative"
"232","you voted by pony express old man","unknown","positive"
"233","you werent in vermont joe","unknown","positive"
"234","get back to your basement the end sniff your maskğÿ‘ƒğÿ‘ƒ","sadness","negative"
"235","nope","unknown","positive"
"236","he has not for a presidential electionlyingbiden","unknown","positive"
"237","did you have help voting","unknown","positive"
"238","the way for the democratic party to seize power first they must ban the gun in your hand then they mustâ€","unknown","negative"
"239","so did my dead grandma ğÿ‘ğÿredwave","unknown","negative"
"240","such a joker joe ğÿ˜‚ğÿ˜‚ğÿ˜‚","unknown","negative"
"241","itâ€™s called absentee and itâ€™s signature verified unlike what youwant stop voter fraud stop biden","unknown","negative"
"242","good idea choosingon her knees kamala after she called you a racistno balls sleepy joe","joy","positive"
"243","absentee ballot does not equal mass mail in voting","unknown","neutral"
"244","there is a difference between and absentee ballot and just getting them mailed to whoever vite at theâ€","unknown","neutral"
"245","trump is the president who lives in a different place nowyou should do that too run from presidentâ€","unknown","positive"
"246","you want millions of people to vote by mail because you can cheat and alter the true results of the electâ€","unknown","negative"
"247","just curious cause i havent heard what version of mail was it i know there are may levels to send mailâ€","unknown","positive"
"248","sure","unknown","positive"
"249","joe stop flirting with republicans ok","unknown","positive"
"250","do you remember what you did","unknown","positive"
"251","if you can stand in line at walmart lowes home depot dmv grocery store dollar store or for the neweâ€","unknown","positive"
"252","joe doesnâ€™t understand what absentee ballotâ€™s are and heâ€™s hoping the rest of america doesnâ€™t either","unknown","neutral"
"253","absentee ballot is not vote by mail","unknown","negative"
"254","an absentee ballot is requested big difference joe joe","unknown","negative"
"255","the city of new york couldnt get mail ballots done correctly it took weeks for them to decide on the elâ€","sadness","neutral"
"256","dont want to i want to know that my vote will be counted you want mail in voting so you and your partyâ€","unknown","positive"
"257","no one is saying people canâ€™t vote by mail but you must go to the election office prove youâ€™re elegibleâ€","unknown","negative"
"258","im australian and i wish i could vote for someone anyone but trump no offence intendedğÿ˜˜","unknown","positive"
"259","trump doesnt know how to use the mail he probably slipped it into the return slot at a long abandoned blâ€","unknown","neutral"
"260","requesting an absentee ballot vsmass mailing ballots to everyone without updating and cleaning up old vâ€","unknown","negative"
"261","dont worry i will i will not vote for you i will not vote for trump i am voting for a real american wâ€","joy","positive"
"262","well only if you are voting for biden democrats censor will burn all trump supporters mail","unknown","positive"
"263","does that include all the dead people that make upof your voter base","unknown","negative"
"264","you mailed it in on the american people a long time ago please donâ€™t lecture us on mail in ballots","joy","negative"
"265","he also knows where he is located","unknown","positive"
"266","i will go in person","unknown","positive"
"267","everyone with reason can how can you run for president and not know this how can you have been in govâ€","unknown","positive"
"268","did you believe harris would get you more black votes we all know she sucked her way to the top","surprise","negative"
"269","liar its called absentee ballot which you have to go w id in order to register","unknown","negative"
"270","donald trump voted by absentee ballot not votebymail fraud like youre talking about assclown","joy","neutral"
"271","did you learn of that by your spying on his campaign","unknown","positive"
"272","absentee ballot much like your minditâ€™s elsewhere is this what you guys are running on itâ€™s ok to bâ€","joy","neutral"
"273","you should get some serious help for your dementia","sadness","negative"
"274","its called an absentee ballot","unknown","negative"
"275","got my ballot coming to me","unknown","positive"
"276","tell ya what man i got to do this week i just drove down there and it took me three hours for a week andâ€","unknown","positive"
"277","what day is it there joe","unknown","positive"
"278","does that mean i can book air force one for my next trip","unknown","negative"
"279","absolutely obama put a site up for everyone that wants to register to vote by mail thank you mr biden","unknown","positive"
"280","listen to two mailmen talk about the idea of mail in voting","unknown","positive"
"281","there are literally dozens of people caught in attempts at voter fraud since they started this bs moreâ€","unknown","negative"
"282","biden do you not understand the difference between voting by mail as an absentee voter versus voting byâ€","unknown","neutral"
"283","do you think the american people are stupid itâ€™s called an absentee ballot not mail in voting","surprise","negative"
"284","theres specific reasons and a process for doing so its not for any reason","unknown","positive"
"285","someone help joe escaped the psychiatric ward","unknown","positive"
"286","there is a big difference between absentee ballots and mass vote by mail what are you afraid of joe hint itâ€™s not the virus","fear","negative"
"287","donald trump wasnt trying to steal an election pedophile","unknown","negative"
"288","your family received millions from ukraine and china so we shouldbe able to do that tpo","unknown","positive"
"289","this is so stupid no has an issue with regular vote by mail scenariosthe issue is when you have â€","surprise","negative"
"290","nope too much fraudrecount proved it","unknown","positive"
"291","thousands are gathering together in streets all across the country they should be fine to vote in person too","joy","positive"
"292","slt","unknown","positive"
"293","thanks jill","unknown","positive"
"294","screw u u canâ€™t even debate ğÿ","unknown","negative"
"295","trumpdrain the democrat swamp","unknown","negative"
"296","too bad you dont know the difference between absentee ballots and vote by mailstay in the basement joe","sadness","negative"
"297","everyone i know is going to the voting box specifically to ensure ur defeat sir","unknown","neutral"
"298","voting by mail means that you applied to vote absentee itâ€™s not the same as the democrats mailing a ballâ€","unknown","negative"
"299","its called absentee ballotabsent minded joe voting should only be for legal citizens and not those onâ€","unknown","negative"
"300","youâ€™re right absentee ballot only","unknown","neutral"
"301","liar","unknown","negative"
"302","its an absentee ballot jesus chrst joe","unknown","negative"
"303","ill vote in person my opinion voting by mail is unconstitutional whats fake ballots and quit lying about trump","unknown","negative"
"304","before i vote by mail will you sit down withfor ahour podcast and dispel critics that youâ€","unknown","neutral"
"305","the potus is not the avg citizen the only ones voting by mail should be those not able to make it to theâ€","unknown","positive"
"306","absentee ballots isnâ€™t voting by mail","unknown","negative"
"307","yea but nottimes","unknown","positive"
"308","look at biden conspiring in plain sight the audacity it is written in the bible that voting in gods laâ€","unknown","negative"
"309","your are such a tool","unknown","positive"
"310","debate the president america must see you guys debate","unknown","negative"
"311","millions of others voted a the ballot box too i dont see the additional covid cases attributed to that","unknown","positive"
"312","maybe but he is still alive and a citizen way over","unknown","negative"
"313","hydroxychloroquine works the silent majority will show up to vote trump","unknown","positive"
"314","absentee ballot is not the same as mail in ballot you want to be president and you dont know the difference","unknown","positive"
"315","hell no i walk in to be sure my vote counts for joe","joy","neutral"
"316","hey missy in the high tops no one believes absentee voting for reason is the same as mass postal service fraud","anger","negative"
"317","yes we know you democrats are very good at cheating by mail","joy","positive"
"318","this will be the biggest fraud in american history just likeevery politician i when i sayeveryâ€","unknown","positive"
"319","absentee ballot we arent slow joedo you and you team know the difference","unknown","negative"
"320","joe youre so warped you know the country doesnt want you or trust you to run the country so youre pâ€","unknown","positive"
"321","theyâ€™re now doing the reverse the democratic house passed a bill that would mandate â€œballot harvestingâ€â€","unknown","positive"
"322","thats right its called in absentee ballot","unknown","neutral"
"323","if you arenâ€™t in the military get your ass to the polls to vote","sadness","negative"
"324","if people can go to walmart target kroget loweâ€™s home depot normallypeople can also go to pollingâ€","unknown","positive"
"325","still pushing for that one heh joe","unknown","positive"
"326","trumplandslidevictory","unknown","positive"
"327","sorry pal youâ€™re not cheating your way in","fear","negative"
"328","kag","unknown","positive"
"329","pushing for that fraud","unknown","negative"
"330","but so will my great grandfather who is dead","joy","positive"
"331","medicare for all or you will never have my vote","unknown","positive"
"332","ima need you and trump to share a cell together","joy","positive"
"333","ifjumped off a bridge would you follow hey joe did you hear trump jumped off a bridge","unknown","positive"
"334","his was through absentee ballot not a mail in ballot those are where electionfraud takes place you knoâ€","unknown","negative"
"335","democrat michael meyer charged with ballot stuffing is this why theand €","unknown","positive"
"336","you are a liar everyone can vote by mail just like donald trumpyou just have to put a tiny bit of efâ€","joy","neutral"
"337","i mean the president also has all nuclear weapons in his hands should we be able to too","unknown","neutral"
"338","only if your traveling or disabled too much voter fraud","unknown","negative"
"339","all men are created well you know the thingbiden harriswe do know the thingyouve been doiâ€","unknown","positive"
"340","ğÿ–•voting by mail","unknown","positive"
"341","i want to vote against you in person i should be allowed that privilege","unknown","positive"
"342","wrong talking point absenteevoting is legal requires the voterb identified as a legal voter votingâ€","unknown","negative"
"343","according to donald trump if he loses the election it means the was a fraud during the vote but somehowâ€","unknown","negative"
"344","do you mean that donald trump votes absentee since he will most definitely be out of town for the election","unknown","negative"
"345","the fact that you donâ€™t understand the difference afteryears is appalling","unknown","neutral"
"346","a lot of people do when circumstances wonâ€™t allow someone to get to the pollğÿ™„","sadness","negative"
"347","all registered legal voters have the privilege of voting by mailthat has never been the issueitâ€™sâ€","unknown","positive"
"348","he was seen on tv voting joe you need to smarten up before you post","unknown","negative"
"349","truth you are a fraud","unknown","neutral"
"350","are you back on your meds yet","unknown","positive"
"351","hey joeblowi was in walmart saturdayand in lowesthere was so many people thereand all wearâ€","unknown","positive"
"352","debate trump with no earpiece or answer to questions you no you canâ€™t","unknown","neutral"
"353","why do they all like to change their faces","joy","positive"
"354","i do vote by mail","unknown","positive"
"355","do you vote by mail","unknown","positive"
"356","yes we know thatâ€™s your only chance at winning to cheat the election","unknown","negative"
"357","heâ€™s busy we are not if those can burn cities down we can go votesuch a joke ğÿ","unknown","negative"
"358","there are already rules in place for voting by mail why the tweet pimping again this is a non issue jusâ€","surprise","positive"
"359","absentee ballots is fine they go to verified registered voters but mailing millions of ballots to who knows whois a problem","unknown","negative"
"360","smell cheating leftist is not honest","unknown","neutral"
"361","nobody has a problem shoppingand going through the checkout at walmart loweâ€™s the drug store and theâ€","unknown","negative"
"362","yup just another moment where one of joe bidenâ€™s eyeballs randomly started bleeding wtf","unknown","positive"
"363","if ur working in another state then u reside in","unknown","positive"
"364","of mail in ballots never get counted lets change this before november lol","sadness","negative"
"365","how many times are you and your family going to vote by mail this time around","unknown","positive"
"366","i know who i would vote for neverbidennevertrump","unknown","positive"
"367","if masks work we can vote in person","unknown","positive"
"368","he also knows who is and where he is i donâ€™t think this advice from you is dependable","unknown","positive"
"369","teaching them young biden question was â€œwho is joe bidenâ€","unknown","negative"
"370","well if a person is not at home and is away like military or in a business trip yes but allowing the dncâ€","joy","positive"
"371","donald trump is a citizen","unknown","positive"
"372","who really believes the usps could handle everyone voting by mailmail in votes were disqualifieâ€","unknown","positive"
"373","oh i didnâ€™t know that","unknown","positive"
"374","ğÿ drop","unknown","positive"
"375","absentee voting is not in the same category as mass mail in votes","unknown","negative"
"376","why canâ€™t all americans itâ€™s only right","unknown","positive"
"377","letâ€™s crushin november and let him and the entire corruptwe will not stand for poâ€","unknown","neutral"
"378","the trump corruption has no boundsbe prepared","unknown","neutral"
"379","do you not understand the difference between absentee ballots and vote by mail","unknown","neutral"
"380","illinois residents are receiving multiple ballots","unknown","positive"
"381","wow joe got a complete thought out wonder how long it took him to type this one","surprise","neutral"
"382","yea years ago that was before the democrats were infiltrated with criminals oh wait you e been thereâ€","unknown","positive"
"383","this may be the stupidest thing you have ever said and that is saying something","unknown","positive"
"384","dirty deeds of the demorats","unknown","negative"
"385","seriously this is the best you can do oy vey nonsense timeforbed godblessamerica","unknown","negative"
"386","keep pointing that out thanks meanwhile my husband and i are voting for you â€” and by mail although weâ€","unknown","negative"
"387","joe i am just going to say it i love you","joy","positive"
"388","we can if we request to vote by mail","unknown","positive"
"389","thanks joe keep staying in de pussy","unknown","positive"
"390","how joeits to early to votesomebody wrote down the wrong stuff for you joe while you were napping","unknown","negative"
"391","requesting an absentee ballot is different than shotgun approach of sending out millions of mail in balloâ€","unknown","negative"
"392","corpses voting for corpses makes sense you are dead to america zombieapocolypse creeyjoe","unknown","neutral"
"393","thatâ€™s what you would like so that you have a better opportunity to cheat joe","joy","positive"
"394","who are you again oh hunters daddy where is hunter by the way","unknown","negative"
"395","all of you democratstook a kneeto someone like thisallowâ€","joy","positive"
"396","why do you want this form of voting so badly joe whatâ€™s the game plan","unknown","negative"
"397","yup","unknown","positive"
"398","listen if your supporters find it too burdensome to takehour out ofyears to go to the polls theyâ€","unknown","negative"
"399","i did","unknown","positive"
"400","still shooting for voter fraud huh know you canâ€™t win a fair election","unknown","negative"
"401","donald trump is a citizen","unknown","positive"
"402","you are trying to cheat again regardless of what you the obama administration amp your party put this couâ€","unknown","negative"
"403","and let millions of illegals and dead people give you votesno thank you","unknown","neutral"
"404","trump","unknown","positive"
"405","democrats are trying to rig theelectionvote in person","unknown","negative"
"406","legalize cannabis support universal health and maybe you will win you dingbat","unknown","positive"
